STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,TOTAL ELECTORS,TOTAL VOTING,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY
Uttar Pradesh,Azamgarh,dharmendra yadav,1,SP,Bicycle,MALE,4.0,45.0,GENERAL,Post Graduate,"Rs 13,50,32,793~ 13 Crore+","Rs 3,42,45,511~ 3 Crore+",504837,3402,508239,1871946,1048286,27.15,48.48
Uttar Pradesh,Azamgarh,dinesh lal yadav “nirahua”,0,BJP,Lotus,MALE,0.0,45.0,GENERAL,Unknown,Unknown,Unknown,345725,1479,347204,1871946,1048286,18.55,33.12
Uttar Pradesh,Azamgarh,mashhod sabeeha ansari,0,BSP,Elephant,MALE,0.0,45.0,GENERAL,Graduate Professional,Unknown,Unknown,179189,650,179839,1871946,1048286,9.61,17.16
Uttar Pradesh,Azamgarh,ravindra nath sharma,0,MADP,Auto- rickshaw,MALE,0.0,61.0,GENERAL,12th Pass,"Rs 19,09,500~ 19 Lacs+",Rs 0~,3038,4,3042,1871946,1048286,0.16,0.29
Uttar Pradesh,Azamgarh,paras yadav,0,JaRaP,Whistle,MALE,0.0,45.0,GENERAL,Post Graduate,Unknown,Unknown,2489,2,2491,1871946,1048286,0.13,0.24
Uttar Pradesh,Azamgarh,shashidhar,0,IND,Bucket,MALE,0.0,39.0,GENERAL,Post Graduate,"Rs 21,18,598~ 21 Lacs+",Rs 0~,2227,5,2232,1871946,1048286,0.12,0.21
Uttar Pradesh,Azamgarh,mahendra nath yadav,0,MOSP,Hockey and ball,MALE,0.0,64.0,GENERAL,Graduate,Unknown,Unknown,1904,1,1905,1871946,1048286,0.1,0.18
Uttar Pradesh,Azamgarh,vijay kumar,0,IND,Almirah,MALE,0.0,39.0,GENERAL,12th Pass,Unknown,Unknown,1733,2,1735,1871946,1048286,0.09,0.17
Uttar Pradesh,Azamgarh,pankaj kumar yadav,0,IND,Ganna kisan,MALE,0.0,35.0,GENERAL,Post Graduate,"Rs 8,15,000~ 8 Lacs+",Rs 0~,1595,4,1599,1871946,1048286,0.09,0.15
Uttar Pradesh,Ghosi,rajeev rai,1,SP,Bicycle,MALE,1.0,54.0,GENERAL,Doctorate,"Rs 49,41,88,267~ 49 Crore+","Rs 6,29,52,119~ 6 Crore+",501407,1724,503131,2090637,1147072,24.07,43.86
