Year,Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Constituency Type,State
2024,6869,134,Selvam. G,KANCHEEPURAM,DMK,0,Post Graduate,"Rs 2,36,15,126~ 2 Crore+","Rs 31,12,213~ 31 Lacs+",,Tamil Nadu
2024,6870,860,Selvam. T,KANCHEEPURAM,IND,0,5th Pass,,,,Tamil Nadu
2024,6871,561,Selvamuthukumar M,THOOTHUKKUDI,IND,0,10th Pass,"Rs 4,572~ 4 Thou+",Rs 0~,,Tamil Nadu
2024,6872,1162,Selvan N,NILGIRIS,IND,0,Graduate Professional,"Rs 6,51,446~ 6 Lacs+",Rs 0~,,Tamil Nadu
2024,6873,1625,Selvaraj K R,NAMAKKAL,IND,0,10th Pass,"Rs 1,75,89,602~ 1 Crore+",Rs 0~,,Tamil Nadu
2024,6874,1297,Selvaraj P,SIVAGANGA,IND,0,10th Pass,"Rs 4,81,000~ 4 Lacs+","Rs 2,00,000~ 2 Lacs+",,Tamil Nadu
2024,6875,161,Selvaraj V,NAGAPATTINAM,CPI,1,Post Graduate,,,,Tamil Nadu
2024,6876,778,Selvarajan V V,VIRUDHUNAGAR,IND,0,Others,"Rs 15,52,131~ 15 Lacs+","Rs 8,50,000~ 8 Lacs+",,Tamil Nadu
2024,6877,780,Selvi K,VIRUDHUNAGAR,IND,0,Post Graduate,"Rs 8,05,472~ 8 Lacs+",Rs 0~,,Tamil Nadu
2024,6878,1449,Senthil Kumar N,THANJAVUR,IND,1,12th Pass,"Rs 79,31,533~ 79 Lacs+","Rs 22,75,000~ 22 Lacs+",,Tamil Nadu
2024,6879,560,Senthil Kumar S,THOOTHUKKUDI,IND,0,10th Pass,"Rs 15,10,000~ 15 Lacs+","Rs 50,000~ 50 Thou+",,Tamil Nadu
2024,6880,682,"Senthil Kumar, D.",ARANI,IND,0,Others,,,,Tamil Nadu
2024,6881,1047,Senthilkumar,CHENNAI CENTRAL,Chennai Youth Party,0,Graduate Professional,"Rs 50,000~ 50 Thou+",Rs 0~,,Tamil Nadu
2024,6882,146,Senthilnathan. V.V,KARUR,BJP,5,Graduate,"Rs 11,18,06,282~ 11 Crore+","Rs 1,35,00,000~ 1 Crore+",,Tamil Nadu
2024,6883,5436,Serubai Vasanth Kumar,CHEVELLA,Rashtra Samanya Praja Party,0,Post Graduate,"Rs 81,36,000~ 81 Lacs+","Rs 6,07,141~ 6 Lacs+",,Telangana
2024,6884,1220,Sethupathi G,THENI,IND,0,Graduate Professional,"Rs 2,13,008~ 2 Lacs+","Rs 6,68,497~ 6 Lacs+",,Tamil Nadu
2024,6885,1483,Seval Kannan B Advocate,TIRUNELVELI,IND,1,Graduate Professional,,,,Tamil Nadu
2024,6886,8612,Sewa Singh,KURUKSHETRA,IND,0,10th Pass,"Rs 3,85,85,035~ 3 Crore+","Rs 23,05,486~ 23 Lacs+",,Haryana
2024,6887,522,Sewakbhau Nirdhan Waghaye,BHANDARA GONDIYA,IND,0,Post Graduate,"Rs 15,78,13,517~ 15 Crore+","Rs 50,83,015~ 50 Lacs+",,Maharashtra
2024,6888,514,Sewakdas Kawduji Barke,CHANDRAPUR,Peoples Party of India (Democratic),0,12th Pass,"Rs 88,26,982~ 88 Lacs+",Rs 0~,,Maharashtra
2024,6889,8175,Shabana Khatoon,AMBEDKAR NAGAR,Peace Party,0,Literate,"Rs 74,58,000~ 74 Lacs+","Rs 15,00,000~ 15 Lacs+",,Uttar Pradesh
2024,6890,1907,Shabareesh,UDUPI CHIKMAGALUR,Karunada Sevakara Party,4,12th Pass,,,,Karnataka
2024,6891,3024,Shabareesh .R,CHITRADURGA,Karunada Sevakara Party,4,12th Pass,"Rs 1,48,19,284~ 1 Crore+",Rs 0~,,Karnataka
2024,6892,6074,Shabbir Sajjanbhai Tamboli,PUNE,IND,0,5th Pass,"Rs 10,31,000~ 10 Lacs+","Rs 1,00,000~ 1 Lacs+",,Maharashtra
2024,6893,1946,Shaber Ahmed,JAMMU,IND,0,Graduate,"Rs 21,14,500~ 21 Lacs+","Rs 5,81,000~ 5 Lacs+",,Jammu and Kashmir
2024,6894,7574,Shabir Ahmad Dar,BARAMULLA,IND,0,Post Graduate,"Rs 35,000~ 35 Thou+",Rs 0~,,Jammu and Kashmir
2024,6895,915,Shabnam,SAHARANPUR,IND,1,Graduate,,,,Uttar Pradesh
2024,6896,2538,Shabudadin,AJMER,National Future Party,1,8th Pass,"Rs 17,80,000~ 17 Lacs+",Rs 0~,,Rajasthan
2024,6897,7578,Shadib Hanief Khan,BARAMULLA,IND,0,8th Pass,"Rs 2,96,000~ 2 Lacs+",Rs 0~,,Jammu and Kashmir
2024,6898,7581,Shafeeqa Begum,BARAMULLA,IND,0,Illiterate,"Rs 40,70,000~ 40 Lacs+",Rs 0~,,Jammu and Kashmir
2024,6899,7670,Shafeeque Ahemad Md. Rafeeque,DHULE,IND,1,Graduate,"Rs 51,52,832~ 51 Lacs+","Rs 2,00,000~ 2 Lacs+",,Maharashtra
2024,6900,3122,Shafi,VADAKARA,IND,0,5th Pass,,,,Kerala
2024,6901,7847,Shafi Mohammad Miya,VALMIKI NAGAR,Aazad Samaj Party (Kanshi Ram),0,8th Pass,"Rs 92,29,278~ 92 Lacs+","Rs 80,000~ 80 Thou+",,Bihar
2024,6902,3121,Shafi Parambil,VADAKARA,INC,47,Post Graduate,"Rs 99,34,524~ 99 Lacs+","Rs 15,00,000~ 15 Lacs+",,Kerala
2024,6903,3124,Shafi T P,VADAKARA,IND,0,10th Pass,"Rs 33,55,206~ 33 Lacs+",Rs 0~,,Kerala
2024,6904,8405,Shah Alam,JAUNPUR,Apna Dal (Kamerawadi),0,Graduate,"Rs 20,93,548~ 20 Lacs+",Rs 0~,,Uttar Pradesh
2024,6905,2616,Shahabuzzama Bhartiya,KISHANGANJ,Rashtriya Samaj Paksha,7,Graduate Professional,,,,Bihar
2024,6906,7834,Shahaji Nanai Thorat,MUMBAI NORTH - EAST,IND,0,10th Pass,"Rs 46,38,143~ 46 Lacs+",Rs 0~,,Maharashtra
2024,6907,914,Shahbaj,SAHARANPUR,IND,0,10th Pass,"Rs 69,51,000~ 69 Lacs+",Rs 0~,,Uttar Pradesh
2024,6908,9502,Shahid Alam,PATNA SAHIB,Jantantra Awaj Party,0,Graduate Professional,"Rs 85,000~ 85 Thou+","Rs 50,000~ 50 Thou+",,Bihar
2024,6909,1802,Shahidur Rahman,RAIGANJ,North Bengal People’s Party,0,Post Graduate,"Rs 1,06,76,021~ 1 Crore+",Rs 0~,,West Bengal
2024,6910,4038,Shahnawaz,ARARIA,RJD,1,Graduate Professional,,,,Bihar
2024,6911,3689,Shahnawaz Ali Raihan,MALDAHA DAKSHIN,AITC,0,Post Graduate,"Rs 14,34,235~ 14 Lacs+",Rs 0~,,West Bengal
2024,6912,4254,Shahnawazkhan Sultankhan Pathan,GANDHINAGAR,IND,0,8th Pass,"Rs 15,85,780~ 15 Lacs+","Rs 13,56,900~ 13 Lacs+",,Gujarat
2024,6913,2927,Shahnaz Bano,JODHPUR,Dalit Kranti Dal,0,8th Pass,"Rs 2,000~ 2 Thou+",Rs 0~,,Rajasthan
2024,6914,6340,Shahnaz Hussain Shah,SRINAGAR,IND,0,12th Pass,"Rs 40,00,000~ 40 Lacs+","Rs 5,00,000~ 5 Lacs+",,Jammu and Kashmir
