Year,Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Constituency Type,State,Gender
2024,4454,5964,mohammed ayub ali,SECUNDERABAD,Anna YSR Congress Party,0,10th Pass,"Rs 1,70,000~ 1 Lacs+",Rs 0~,,Telangana,Male
2024,4455,3920,mohammed badruddin ajmal,DHUBRI,All India United Democratic Front,2,Post Graduate,,,,Assam,Male
2024,4456,762,mohammed faizal pp,LAKSHADWEEP,Nationalist Congress Party – Sharadchandra Pawar,5,Post Graduate,"Rs 96,95,095~ 96 Lacs+","Rs 6,22,734~ 6 Lacs+",,Lakshadweep,Male
2024,4457,5977,mohammed fasi uddin,SECUNDERABAD,IND,0,10th Pass,"Rs 45,000~ 45 Thou+",Rs 0~,,Telangana,Male
2024,4458,3909,mohammed hayath. m,DAVANAGERE,IND,0,Graduate,"Rs 7,57,121~ 7 Lacs+",Rs 0~,,Karnataka,Male
2024,4459,5969,mohammed ibrahim ahmed,SECUNDERABAD,IND,0,5th Pass,"Rs 4,65,000~ 4 Lacs+",Rs 0~,,Telangana,Male
2024,4460,7069,mohammed iqbal,CHEVELLA,IND,0,10th Pass,,,,Telangana,Male
2024,4461,4292,mohammed ismail mukti,DHARWAD,Bharatiya Prajagala Kalyana Paksha,0,12th Pass,"Rs 2,51,35,000~ 2 Crore+","Rs 97,000~ 97 Thou+",,Karnataka,Male
2024,4462,7272,mohammed mahtab akhtar hussain shaikh,MUMBAI SOUTH,Bahujan Mukti Party,2,10th Pass,"Rs 4,09,959~ 4 Lacs+","Rs 1,45,000~ 1 Lacs+",,Maharashtra,Male
2024,4463,7081,mohammed mustafa rizwan,CHEVELLA,IND,0,10th Pass,"Rs 7,64,000~ 7 Lacs+",Rs 0~,,Telangana,Male
2024,4464,5970,mohammed rafiuddin kaleem,SECUNDERABAD,All India Majlis-E-Inquilab-E-Millat,0,Graduate Professional,"Rs 9,15,858~ 9 Lacs+","Rs 1,20,000~ 1 Lacs+",,Telangana,Male
2024,4465,5458,mohammed saleem,CHEVELLA,Rashtriya Praja Congress (Secular),0,10th Pass,,,,Telangana,Male
2024,4466,7553,mohammed shuaib bashir khateeb,MUMBAI SOUTH,BSP,0,10th Pass,"Rs 64,40,000~ 64 Lacs+",Rs 0~,,Maharashtra,Male
