tweet_id,created_at,user_id,text,clean_text,hashtags,mentions,language,retweet_count,like_count,sentiment,polarity,subjectivity,party,state
1881264565754957866,2025-01-20 08:56:39+00:00,1870838696892616705,@PavanRanaRSS What a fantastic victory by our Kho Kho champions! 🏆👏 Kudos to BJP’s efforts through #KheloIndia for promoting traditional sports like Kho Kho! 🇮🇳✨ #KhoKhoChampions #BJPForSports, what a fantastic victory by our kho kho champions  kudos to bjps efforts through kheloindia for promoting traditional sports like kho kho  khokhochampions bjpforsports,"['KheloIndia', 'KhoKhoChampions', 'BJPForSports']",['PavanRanaRSS'],en,0,0,Unknown,0,0,Unknown,Unknown
1881264563259310337,2025-01-20 08:56:38+00:00,1088174317,"@BowesChay @realDonaldTrump @elonmusk @RT The US is in the hands of Israeli fascist Zionism, the entire Congress and the presidents have been funded by AIPAC, Israeli Zionist lobby, they are in every position of power of influence of the US economy a truth. They don't want to see Americans.",    the us is in the hands of israeli fascist zionism the entire congress and the presidents have been funded by aipac israeli zionist lobby they are in every position of power of influence of the us economy a truth they dont want to see americans,[],"['BowesChay', 'realDonaldTrump', 'elonmusk', 'RT']",en,0,0,Unknown,0,0,Unknown,Unknown
1881264561392873711,2025-01-20 08:56:38+00:00,4297882274,@Judgenap Congress wrote the Bill to Force Sale/Ban #TicToc had invested millions in META stocks bcz the corruptCongress anticipated Sale of TicToc to META in order to make $$$$$$$ on META stocks while millions of GenZ who make a living on TicToc lose BIG https://t.co/36m1uDRPOB, congress wrote the bill to force saleban tictoc had invested millions in meta stocks bcz the corruptcongress anticipated sale of tictoc to meta in order to make  on meta stocks while millions of genz who make a living on tictoc lose big ,['TicToc'],['Judgenap'],en,0,0,Unknown,0,0,Unknown,Unknown
1881264558968598537,2025-01-20 08:56:37+00:00,1395334671811047425,@bindass_ladki @dhruv_rathee this man is the biggest scam in indian politics- created by the RSS to infiltrate and fragment the opposition - congress should never have trusted him - if Dhruv rathee is genuine then he will expose this man 👇🏻👇🏻👇🏻👇🏻👇🏻https://t.co/0PJdycpBuk,  this man is the biggest scam in indian politics created by the rss to infiltrate and fragment the opposition  congress should never have trusted him  if dhruv rathee is genuine then he will expose this man ,[],"['bindass_ladki', 'dhruv_rathee']",en,0,0,Unknown,0,0,Unknown,Unknown
1881264555809972493,2025-01-20 08:56:36+00:00,1559221436220416002,"@TimesAlgebraIND 🔥 Kanhaiya Kumar's Disrespectful Remarks on Lord Ram!

Senior Congress leader Kanhaiya Kumar questions, ""Who will tell where RAM was born?""—a blatant display of ignorance and insensitivity towards Sanatan Dharma. Such statements not only hurt the sentiments of millions but also… https://t.co/sl07ITGs47","  kanhaiya kumars disrespectful remarks on lord ram

senior congress leader kanhaiya kumar questions who will tell where ram was borna blatant display of ignorance and insensitivity towards sanatan dharma such statements not only hurt the sentiments of millions but also ",[],['TimesAlgebraIND'],en,0,0,Unknown,0,0,Unknown,Unknown
1881264544791904405,2025-01-20 08:56:34+00:00,1693643572384272384,"PM congratulates the Indian Men’s team on winning the Kho Kho World Cup
https://t.co/zkTtABB9W8 via NaMo App https://t.co/YGTTCaqFP8","pm congratulates the indian mens team on winning the kho kho world cup
 via namo app ",[],[],en,0,0,Unknown,0,0,Unknown,Unknown
1881264539968352486,2025-01-20 08:56:33+00:00,1681050086837747712,"Believe me #karanveeraMehra won through public voting 🤣😂😭

Kya @BiggBoss itna dar tha 💀

#RajatDalal bhai aap hamesa top p rahe ho pure season 🔥🔥 

#ElvishYadav #ElvishArmy https://t.co/Jjy78bOZBi","believe me karanveeramehra won through public voting 

kya  itna dar tha 

rajatdalal bhai aap hamesa top p rahe ho pure season  

elvishyadav elvisharmy ","['karanveeraMehra', 'RajatDalal', 'ElvishYadav', 'ElvishArmy']",['BiggBoss'],en,0,0,Unknown,0,0,Unknown,Unknown
1881264526773108758,2025-01-20 08:56:30+00:00,1879438147542814720,@attorneybharti AAP ka water management – Har ghar me “No Water” supply guaranteed! 🚱, aap ka water management  har ghar me no water supply guaranteed ,[],['attorneybharti'],en,0,0,Unknown,0,0,Unknown,Unknown
1881264525825159617,2025-01-20 08:56:29+00:00,1311547180943990784,"#PrimeMinister Narendra Modi's agenda for #India involves a strong commitment to #Greentechnology, #ElectricVehicles, #HydrogenFuel, and #Biofuels.

To know more about it read our full article here:
https://t.co/bG1RcX1k3A
.
#TheMainstream #technews #AITechnology # #GreenFuture https://t.co/x5BJfjraLg","primeminister narendra modis agenda for india involves a strong commitment to greentechnology electricvehicles hydrogenfuel and biofuels

to know more about it read our full article here


themainstream technews aitechnology  greenfuture ","['PrimeMinister', 'India', 'Greentechnology', 'ElectricVehicles', 'HydrogenFuel', 'Biofuels', 'TheMainstream', 'technews', 'AITechnology', 'GreenFuture']",[],en,0,0,Unknown,0,0,Unknown,Unknown
1881264520074776612,2025-01-20 08:56:28+00:00,1657400970937024517,"Contrary to popular belief, AAP and BJP were in a close fight for more than 35 seats in 2020. 

If the anti-incumbency against AAP becomes the prevailing factor, the BJP could be looking at these potentially winnable seats in 2025. https://t.co/M513yTuEni","contrary to popular belief aap and bjp were in a close fight for more than 35 seats in 2020 

if the antiincumbency against aap becomes the prevailing factor the bjp could be looking at these potentially winnable seats in 2025 ",[],[],en,0,0,Unknown,0,0,Unknown,Unknown
