iter	Passed	Remaining
802	12833	3148
803	12847	3131
804	12860	3115
805	12875	3098
806	12889	3082
807	12904	3066
808	12919	3050
809	12933	3033
810	12950	3018
811	12966	3002
812	12984	2986
813	13001	2970
814	13020	2955
815	13036	2939
816	13052	2923
817	13068	2907
818	13083	2891
819	13097	2875
820	13111	2858
821	13124	2842
822	13137	2825
823	13151	2808
824	13167	2793
825	13181	2776
826	13198	2761
827	13213	2744
828	13230	2729
829	13246	2713
830	13264	2697
831	13279	2681
832	13294	2665
833	13309	2649
834	13323	2632
835	13336	2616
836	13350	2599
837	13364	2583
838	13378	2567
839	13394	2551
840	13410	2535
841	13427	2519
842	13444	2503
843	13461	2488
844	13476	2472
845	13492	2456
846	13507	2439
847	13522	2423
848	13536	2407
849	13549	2391
850	13563	2374
851	13577	2358
852	13593	2342
853	13607	2326
854	13623	2310
855	13640	2294
856	13656	2278
857	13673	2263
858	13688	2246
859	13705	2231
860	13720	2215
861	13735	2198
862	13750	2182
863	13765	2166
864	13779	2150
865	13792	2134
866	13807	2118
867	13820	2101
868	13836	2085
869	13853	2070
870	13871	2054
871	13886	2038
872	13901	2022
873	13916	2006
874	13932	1990
875	13947	1974
876	13964	1958
877	13979	1942
878	13995	1926
879	14010	1910
880	14023	1894
881	14037	1878
882	14050	1861
883	14067	1846
884	14083	1830
885	14098	1813
886	14114	1798
887	14128	1781
888	14144	1766
889	14160	1750
890	14176	1734
891	14193	1718
892	14209	1702
893	14225	1686
894	14242	1670
895	14259	1655
896	14277	1639
897	14295	1623
898	14311	1607
899	14327	1591
900	14343	1576
901	14359	1560
902	14376	1544
903	14392	1528
904	14409	1512
905	14425	1496
906	14441	1480
907	14458	1464
908	14475	1449
909	14492	1433
910	14509	1417
911	14525	1401
912	14540	1385
913	14556	1369
914	14573	1353
915	14589	1337
916	14604	1321
917	14620	1306
918	14636	1290
919	14652	1274
920	14669	1258
921	14689	1242
922	14708	1227
923	14726	1211
924	14743	1195
925	14760	1179
926	14775	1163
927	14791	1147
928	14809	1131
929	14837	1116
930	14854	1100
931	14872	1085
932	14892	1069
933	14914	1053
934	14933	1038
935	14951	1022
936	14968	1006
937	14984	990
938	15001	974
939	15018	958
940	15038	942
941	15056	927
942	15073	911
943	15093	895
944	15115	879
945	15136	864
946	15153	848
947	15170	832
948	15187	816
949	15205	800
950	15227	784
951	15245	768
952	15261	752
953	15277	736
954	15295	720
955	15316	704
956	15334	689
957	15350	672
958	15367	657
959	15383	640
960	15400	624
961	15415	608
962	15431	592
963	15447	576
964	15462	560
965	15477	544
966	15493	528
967	15510	512
968	15528	496
